image_name,image_path,released_year,viewpoint,bbox,make,model,type
57342f6dd9160d,dataset/image/61/348/2014/57342f6dd9160d.jpg,2014,rear,"[177.0, 60.0, 620.0, 502.0]",Beiqihuansu,Huansu S2,SUV
6e118414928deb,dataset/image/61/348/2014/6e118414928deb.jpg,2014,rear,"[232.0, 125.0, 588.0, 489.0]",Beiqihuansu,Huansu S2,SUV
e976e76f28e442,dataset/image/61/348/2014/e976e76f28e442.jpg,2014,rear,"[242.0, 35.0, 701.0, 490.0]",Beiqihuansu,Huansu S2,SUV
806b159f593d19,dataset/image/61/348/2014/806b159f593d19.jpg,2014,front,"[176.0, 110.0, 637.0, 522.0]",Beiqihuansu,Huansu S2,SUV
270abb69451f1f,dataset/image/61/348/2014/270abb69451f1f.jpg,2014,rear,"[223.0, 127.0, 686.0, 596.0]",Beiqihuansu,Huansu S2,SUV
bbb9c3d073de32,dataset/image/61/348/2014/bbb9c3d073de32.jpg,2014,front,"[170.0, 61.0, 753.0, 607.0]",Beiqihuansu,Huansu S2,SUV
2fd6c605c2163a,dataset/image/61/348/2014/2fd6c605c2163a.jpg,2014,front,"[212.0, 113.0, 585.0, 451.0]",Beiqihuansu,Huansu S2,SUV
dcc6f3e0ec1456,dataset/image/61/348/2014/dcc6f3e0ec1456.jpg,2014,front,"[131.0, 1.0, 809.0, 491.0]",Beiqihuansu,Huansu S2,SUV
aee8e11cbbdc77,dataset/image/61/348/2014/aee8e11cbbdc77.jpg,2014,rear,"[242.0, 112.0, 777.0, 642.0]",Beiqihuansu,Huansu S2,SUV
3de1189cf87894,dataset/image/61/348/2014/3de1189cf87894.jpg,2014,rear,"[206.0, 50.0, 646.0, 468.0]",Beiqihuansu,Huansu S2,SUV
042a6c6d543031,dataset/image/61/348/2014/042a6c6d543031.jpg,2014,front,"[218.0, 146.0, 701.0, 590.0]",Beiqihuansu,Huansu S2,SUV
d252c1d0185ea8,dataset/image/61/348/2014/d252c1d0185ea8.jpg,2014,rear,"[171.0, 89.0, 620.0, 526.0]",Beiqihuansu,Huansu S2,SUV
d12af6ef2ea257,dataset/image/61/348/2014/d12af6ef2ea257.jpg,2014,front,"[225.0, 144.0, 560.0, 443.0]",Beiqihuansu,Huansu S2,SUV
8a3552e5c20157,dataset/image/61/348/2014/8a3552e5c20157.jpg,2014,front,"[165.0, 170.0, 425.0, 398.0]",Beiqihuansu,Huansu S2,SUV
3cdd0290e479f2,dataset/image/61/348/2014/3cdd0290e479f2.jpg,2014,front,"[158.0, 81.0, 638.0, 505.0]",Beiqihuansu,Huansu S2,SUV
9102dcee774d71,dataset/image/61/348/2015/9102dcee774d71.jpg,2015,front,"[220.0, 123.0, 596.0, 447.0]",Beiqihuansu,Huansu S2,SUV
439ea0f046daa2,dataset/image/61/348/2015/439ea0f046daa2.jpg,2015,rear,"[222.0, 146.0, 525.0, 440.0]",Beiqihuansu,Huansu S2,SUV
13bcfe8dd8898d,dataset/image/61/349/2014/13bcfe8dd8898d.jpg,2014,front,"[211.0, 30.0, 666.0, 422.0]",Beiqihuansu,Huansu S3,SUV
fd9da68ea3c2bd,dataset/image/61/349/2014/fd9da68ea3c2bd.jpg,2014,rear,"[230.0, 125.0, 592.0, 482.0]",Beiqihuansu,Huansu S3,SUV
b99f5b46d2e31b,dataset/image/61/349/2014/b99f5b46d2e31b.jpg,2014,front,"[202.0, 119.0, 819.0, 667.0]",Beiqihuansu,Huansu S3,SUV
9939c9dc034c8f,dataset/image/61/349/2014/9939c9dc034c8f.jpg,2014,front,"[146.0, 52.0, 716.0, 539.0]",Beiqihuansu,Huansu S3,SUV
99b7d0be647896,dataset/image/61/349/2014/99b7d0be647896.jpg,2014,front,"[183.0, 6.0, 634.0, 426.0]",Beiqihuansu,Huansu S3,SUV
7067b44470d699,dataset/image/61/349/2014/7067b44470d699.jpg,2014,rear,"[158.0, 12.0, 539.0, 365.0]",Beiqihuansu,Huansu S3,SUV
ed4b62a4517f8c,dataset/image/61/349/2014/ed4b62a4517f8c.jpg,2014,rear,"[244.0, 84.0, 606.0, 442.0]",Beiqihuansu,Huansu S3,SUV
9f4a0a7b12b662,dataset/image/61/349/2014/9f4a0a7b12b662.jpg,2014,rear,"[195.0, 12.0, 630.0, 428.0]",Beiqihuansu,Huansu S3,SUV
2dc469c14d6122,dataset/image/61/349/2014/2dc469c14d6122.jpg,2014,front,"[78.0, 81.0, 510.0, 457.0]",Beiqihuansu,Huansu S3,SUV
a9ef6b4e2179f1,dataset/image/61/349/2014/a9ef6b4e2179f1.jpg,2014,rear,"[217.0, 120.0, 789.0, 680.0]",Beiqihuansu,Huansu S3,SUV
1fdfca71ae8391,dataset/image/61/349/2014/1fdfca71ae8391.jpg,2014,rear,"[222.0, 117.0, 767.0, 653.0]",Beiqihuansu,Huansu S3,SUV
802b2c7c44af48,dataset/image/61/349/2014/802b2c7c44af48.jpg,2014,front,"[203.0, 21.0, 669.0, 475.0]",Beiqihuansu,Huansu S3,SUV
bd106dd9964f1c,dataset/image/61/349/2014/bd106dd9964f1c.jpg,2014,front,"[173.0, 41.0, 705.0, 530.0]",Beiqihuansu,Huansu S3,SUV
4070801d06bed2,dataset/image/61/349/2014/4070801d06bed2.jpg,2014,front,"[136.0, 56.0, 649.0, 498.0]",Beiqihuansu,Huansu S3,SUV
688278264096e4,dataset/image/61/349/2014/688278264096e4.jpg,2014,front,"[209.0, 100.0, 591.0, 450.0]",Beiqihuansu,Huansu S3,SUV
d31b374bc39bff,dataset/image/61/349/2014/d31b374bc39bff.jpg,2014,rear,"[169.0, 87.0, 593.0, 518.0]",Beiqihuansu,Huansu S3,SUV
41a750d832a03c,dataset/image/61/349/2014/41a750d832a03c.jpg,2014,front,"[321.0, 189.0, 570.0, 393.0]",Beiqihuansu,Huansu S3,SUV
c33442d09d78cb,dataset/image/61/349/2014/c33442d09d78cb.jpg,2014,front,"[212.0, 141.0, 591.0, 492.0]",Beiqihuansu,Huansu S3,SUV
ac5c8231c2300f,dataset/image/61/349/2014/ac5c8231c2300f.jpg,2014,front,"[169.0, 75.0, 636.0, 489.0]",Beiqihuansu,Huansu S3,SUV
20d6d864bcd2b5,dataset/image/61/349/2014/20d6d864bcd2b5.jpg,2014,front,"[237.0, 96.0, 688.0, 503.0]",Beiqihuansu,Huansu S3,SUV
89ca3bff6df3ad,dataset/image/61/349/2014/89ca3bff6df3ad.jpg,2014,front,"[195.0, 108.0, 814.0, 666.0]",Beiqihuansu,Huansu S3,SUV
07f174250fdefe,dataset/image/61/349/2015/07f174250fdefe.jpg,2015,rear,"[203.0, 128.0, 559.0, 466.0]",Beiqihuansu,Huansu S3,SUV
2977fa85bb09ca,dataset/image/61/349/2015/2977fa85bb09ca.jpg,2015,front,"[168.0, 81.0, 629.0, 463.0]",Beiqihuansu,Huansu S3,SUV
9dbcc807ea69d4,dataset/image/95/931/2014/9dbcc807ea69d4.jpg,2014,front,"[213.0, 140.0, 580.0, 435.0]",Skoda,CitiJet,Unknown
f6300de0153a36,dataset/image/95/931/2014/f6300de0153a36.jpg,2014,front,"[204.0, 210.0, 726.0, 626.0]",Skoda,CitiJet,Unknown
bfbdc4a5331e8e,dataset/image/95/931/2014/bfbdc4a5331e8e.jpg,2014,front,"[186.0, 133.0, 593.0, 456.0]",Skoda,CitiJet,Unknown
1485804d9655d8,dataset/image/95/931/2014/1485804d9655d8.jpg,2014,front,"[133.0, 107.0, 674.0, 557.0]",Skoda,CitiJet,Unknown
a5deedd1923c6b,dataset/image/95/931/2015/a5deedd1923c6b.jpg,2015,front,"[183.0, 188.0, 638.0, 552.0]",Skoda,CitiJet,Unknown
c1206057a2a4d5,dataset/image/95/930/2014/c1206057a2a4d5.jpg,2014,rear,"[167.0, 136.0, 751.0, 549.0]",Skoda,VisionC,Unknown
fccca65c757d68,dataset/image/95/930/2014/fccca65c757d68.jpg,2014,rear,"[137.0, 105.0, 657.0, 478.0]",Skoda,VisionC,Unknown
276346a7a8c4b1,dataset/image/95/930/2014/276346a7a8c4b1.jpg,2014,rear,"[191.0, 108.0, 638.0, 425.0]",Skoda,VisionC,Unknown
9efd0bab81c86c,dataset/image/95/930/2014/9efd0bab81c86c.jpg,2014,front,"[104.0, 111.0, 695.0, 507.0]",Skoda,VisionC,Unknown
e0055d8350bcb5,dataset/image/95/930/2014/e0055d8350bcb5.jpg,2014,front,"[147.0, 136.0, 795.0, 566.0]",Skoda,VisionC,Unknown
a23c423366e312,dataset/image/95/930/2014/a23c423366e312.jpg,2014,rear,"[85.0, 119.0, 715.0, 500.0]",Skoda,VisionC,Unknown
a10f2272d24b1b,dataset/image/95/930/2014/a10f2272d24b1b.jpg,2014,front,"[101.0, 133.0, 810.0, 619.0]",Skoda,VisionC,Unknown
13ddc57776eaa3,dataset/image/95/930/2014/13ddc57776eaa3.jpg,2014,rear,"[74.0, 97.0, 847.0, 626.0]",Skoda,VisionC,Unknown
6590f9cc4235c3,dataset/image/95/930/2014/6590f9cc4235c3.jpg,2014,front,"[169.0, 148.0, 621.0, 451.0]",Skoda,VisionC,Unknown
6b110ce88f3439,dataset/image/95/930/2014/6b110ce88f3439.jpg,2014,rear,"[8.0, 1.0, 719.0, 526.0]",Skoda,VisionC,Unknown
bf911443588aed,dataset/image/95/930/2014/bf911443588aed.jpg,2014,rear,"[58.0, 25.0, 742.0, 533.0]",Skoda,VisionC,Unknown
a282afc649f586,dataset/image/95/930/2014/a282afc649f586.jpg,2014,front,"[53.0, 92.0, 773.0, 547.0]",Skoda,VisionC,Unknown
b837be1d066cd2,dataset/image/95/915/2013/b837be1d066cd2.jpg,2013,front,"[157.0, 94.0, 653.0, 457.0]",Skoda,Haorui,sedan
6cfd6c30f9ff2e,dataset/image/95/915/2013/6cfd6c30f9ff2e.jpg,2013,front,"[124.0, 131.0, 779.0, 601.0]",Skoda,Haorui,sedan
988ed6c5ce8a9a,dataset/image/95/915/2013/988ed6c5ce8a9a.jpg,2013,front,"[190.0, 138.0, 600.0, 436.0]",Skoda,Haorui,sedan
04f27b6b6b7bce,dataset/image/95/915/2013/04f27b6b6b7bce.jpg,2013,front,"[137.0, 124.0, 670.0, 495.0]",Skoda,Haorui,sedan
fc8f3f81654df1,dataset/image/95/915/2013/fc8f3f81654df1.jpg,2013,front,"[179.0, 143.0, 733.0, 527.0]",Skoda,Haorui,sedan
e0e8974bb29b5b,dataset/image/95/915/2014/e0e8974bb29b5b.jpg,2014,rear,"[97.0, 47.0, 810.0, 626.0]",Skoda,Haorui,sedan
04b1b1e64d2f08,dataset/image/95/915/2014/04b1b1e64d2f08.jpg,2014,front,"[73.0, 51.0, 838.0, 618.0]",Skoda,Haorui,sedan
74ed1d2e5b3d8d,dataset/image/95/915/2012/74ed1d2e5b3d8d.jpg,2012,front,"[238.0, 178.0, 683.0, 501.0]",Skoda,Haorui,sedan
3780ed59501c51,dataset/image/95/915/2012/3780ed59501c51.jpg,2012,front,"[143.0, 119.0, 647.0, 476.0]",Skoda,Haorui,sedan
66cde8f8470235,dataset/image/95/915/2012/66cde8f8470235.jpg,2012,front,"[146.0, 118.0, 775.0, 588.0]",Skoda,Haorui,sedan
ff28f37fd6f1f3,dataset/image/95/915/2012/ff28f37fd6f1f3.jpg,2012,rear,"[114.0, 76.0, 669.0, 527.0]",Skoda,Haorui,sedan
b9c84be8c9c972,dataset/image/95/915/2012/b9c84be8c9c972.jpg,2012,front,"[176.0, 152.0, 725.0, 536.0]",Skoda,Haorui,sedan
141cc8d33e2228,dataset/image/95/915/2012/141cc8d33e2228.jpg,2012,front,"[205.0, 159.0, 728.0, 545.0]",Skoda,Haorui,sedan
9153cd4c778155,dataset/image/95/915/2012/9153cd4c778155.jpg,2012,rear,"[220.0, 144.0, 694.0, 531.0]",Skoda,Haorui,sedan
b3392dd679cea4,dataset/image/95/915/2012/b3392dd679cea4.jpg,2012,rear,"[164.0, 115.0, 747.0, 591.0]",Skoda,Haorui,sedan
efc3dbd98d5a5e,dataset/image/95/915/2012/efc3dbd98d5a5e.jpg,2012,rear,"[141.0, 112.0, 754.0, 608.0]",Skoda,Haorui,sedan
87bc9d7663a1d0,dataset/image/95/915/2012/87bc9d7663a1d0.jpg,2012,front,"[168.0, 106.0, 765.0, 557.0]",Skoda,Haorui,sedan
55388ff4af99ca,dataset/image/95/915/2012/55388ff4af99ca.jpg,2012,front,"[226.0, 165.0, 696.0, 518.0]",Skoda,Haorui,sedan
e2570c4b23c5d2,dataset/image/95/915/2012/e2570c4b23c5d2.jpg,2012,rear,"[231.0, 182.0, 678.0, 539.0]",Skoda,Haorui,sedan
b6fccc27d54241,dataset/image/95/915/2012/b6fccc27d54241.jpg,2012,rear,"[185.0, 110.0, 611.0, 441.0]",Skoda,Haorui,sedan
e0af836c87e893,dataset/image/95/915/2012/e0af836c87e893.jpg,2012,rear,"[176.0, 166.0, 738.0, 590.0]",Skoda,Haorui,sedan
ccc674e015677c,dataset/image/95/915/2009/ccc674e015677c.jpg,2009,rear,"[60.0, 46.0, 823.0, 627.0]",Skoda,Haorui,sedan
d54a2b85ea2d7c,dataset/image/95/915/2009/d54a2b85ea2d7c.jpg,2009,front,"[94.0, 26.0, 844.0, 627.0]",Skoda,Haorui,sedan
20936aea1a1b9d,dataset/image/95/915/2009/20936aea1a1b9d.jpg,2009,front,"[115.0, 102.0, 804.0, 584.0]",Skoda,Haorui,sedan
4b35c9433a9132,dataset/image/95/915/2009/4b35c9433a9132.jpg,2009,front,"[91.0, 50.0, 780.0, 627.0]",Skoda,Haorui,sedan
75d8b969af28b7,dataset/image/95/915/2009/75d8b969af28b7.jpg,2009,rear,"[63.0, 70.0, 842.0, 623.0]",Skoda,Haorui,sedan
397a71f61d87f0,dataset/image/95/915/2009/397a71f61d87f0.jpg,2009,front,"[82.0, 49.0, 824.0, 555.0]",Skoda,Haorui,sedan
8ac10aa4eadc40,dataset/image/95/915/2009/8ac10aa4eadc40.jpg,2009,front,"[159.0, 133.0, 731.0, 553.0]",Skoda,Haorui,sedan
aa0e3708a29179,dataset/image/95/915/2009/aa0e3708a29179.jpg,2009,front,"[94.0, 25.0, 854.0, 618.0]",Skoda,Haorui,sedan
3cd0c03675b4ec,dataset/image/95/915/2009/3cd0c03675b4ec.jpg,2009,rear,"[85.0, 81.0, 807.0, 598.0]",Skoda,Haorui,sedan
617ce86ac125ec,dataset/image/95/915/2009/617ce86ac125ec.jpg,2009,front,"[118.0, 76.0, 760.0, 592.0]",Skoda,Haorui,sedan
2504d0c5cd3845,dataset/image/95/915/2009/2504d0c5cd3845.jpg,2009,rear,"[93.0, 26.0, 839.0, 627.0]",Skoda,Haorui,sedan
adfec41bb7e777,dataset/image/95/915/2009/adfec41bb7e777.jpg,2009,front,"[53.0, 56.0, 805.0, 627.0]",Skoda,Haorui,sedan
1c1ea1c5da7ffa,dataset/image/95/915/2009/1c1ea1c5da7ffa.jpg,2009,rear,"[129.0, 166.0, 764.0, 627.0]",Skoda,Haorui,sedan
1a8278d01ac338,dataset/image/95/915/2009/1a8278d01ac338.jpg,2009,front,"[154.0, 123.0, 793.0, 621.0]",Skoda,Haorui,sedan
85119537aac88c,dataset/image/95/915/2010/85119537aac88c.jpg,2010,rear,"[142.0, 114.0, 758.0, 523.0]",Skoda,Haorui,sedan
eb6f023fb08450,dataset/image/95/915/2010/eb6f023fb08450.jpg,2010,front,"[145.0, 109.0, 787.0, 580.0]",Skoda,Haorui,sedan
f2d254fdc45dbd,dataset/image/95/915/2010/f2d254fdc45dbd.jpg,2010,rear,"[154.0, 103.0, 745.0, 586.0]",Skoda,Haorui,sedan
23dc7e6313f344,dataset/image/95/915/2010/23dc7e6313f344.jpg,2010,front,"[143.0, 139.0, 784.0, 524.0]",Skoda,Haorui,sedan
3c2e0dda1f1e1d,dataset/image/95/912/2014/3c2e0dda1f1e1d.jpg,2014,front,"[138.0, 60.0, 661.0, 484.0]",Skoda,Octavia RS,fastback
f4cc0894d81dbf,dataset/image/95/912/2010/f4cc0894d81dbf.jpg,2010,rear,"[145.0, 75.0, 753.0, 576.0]",Skoda,Octavia RS,fastback
9798aabff1644a,dataset/image/95/912/2010/9798aabff1644a.jpg,2010,rear,"[194.0, 165.0, 722.0, 575.0]",Skoda,Octavia RS,fastback
6509832d6a5b83,dataset/image/95/912/2010/6509832d6a5b83.jpg,2010,front,"[207.0, 200.0, 703.0, 548.0]",Skoda,Octavia RS,fastback
a36594b4d81aad,dataset/image/95/912/2010/a36594b4d81aad.jpg,2010,rear,"[218.0, 182.0, 699.0, 568.0]",Skoda,Octavia RS,fastback
3781b224c910eb,dataset/image/95/912/2010/3781b224c910eb.jpg,2010,front,"[204.0, 137.0, 834.0, 607.0]",Skoda,Octavia RS,fastback
a5cd2ce6344559,dataset/image/95/912/2010/a5cd2ce6344559.jpg,2010,rear,"[159.0, 166.0, 742.0, 570.0]",Skoda,Octavia RS,fastback
38be9ea113b0f0,dataset/image/95/912/2010/38be9ea113b0f0.jpg,2010,rear,"[207.0, 123.0, 704.0, 527.0]",Skoda,Octavia RS,fastback
403286e0fa8304,dataset/image/95/912/2010/403286e0fa8304.jpg,2010,front,"[201.0, 127.0, 724.0, 516.0]",Skoda,Octavia RS,fastback
e7f20b1b5ef958,dataset/image/95/912/2010/e7f20b1b5ef958.jpg,2010,rear,"[201.0, 139.0, 828.0, 643.0]",Skoda,Octavia RS,fastback
7ad73424208e31,dataset/image/95/912/2011/7ad73424208e31.jpg,2011,front,"[160.0, 130.0, 636.0, 484.0]",Skoda,Octavia RS,fastback
3e0999f99e088e,dataset/image/95/912/2011/3e0999f99e088e.jpg,2011,rear,"[167.0, 112.0, 612.0, 484.0]",Skoda,Octavia RS,fastback
30e2ab79b7187c,dataset/image/95/924/2013/30e2ab79b7187c.jpg,2013,rear,"[124.0, 113.0, 782.0, 626.0]",Skoda,Octavia abroad version,Unknown
7d78f3f68d228a,dataset/image/95/924/2013/7d78f3f68d228a.jpg,2013,front,"[126.0, 41.0, 701.0, 492.0]",Skoda,Octavia abroad version,Unknown
95e9c8df33c391,dataset/image/95/924/2013/95e9c8df33c391.jpg,2013,front,"[77.0, 83.0, 830.0, 626.0]",Skoda,Octavia abroad version,Unknown
0f72c69f7ccd0e,dataset/image/95/924/2013/0f72c69f7ccd0e.jpg,2013,front,"[82.0, 69.0, 721.0, 541.0]",Skoda,Octavia abroad version,Unknown
8a09e8ce70183a,dataset/image/95/924/2013/8a09e8ce70183a.jpg,2013,rear,"[112.0, 78.0, 685.0, 547.0]",Skoda,Octavia abroad version,Unknown
9faad2dad403aa,dataset/image/95/924/2013/9faad2dad403aa.jpg,2013,rear,"[134.0, 54.0, 694.0, 502.0]",Skoda,Octavia abroad version,Unknown
2f6741f984cc18,dataset/image/95/924/2013/2f6741f984cc18.jpg,2013,rear,"[111.0, 72.0, 691.0, 541.0]",Skoda,Octavia abroad version,Unknown
b7808c3a0d98eb,dataset/image/95/924/2014/b7808c3a0d98eb.jpg,2014,front,"[118.0, 118.0, 771.0, 605.0]",Skoda,Octavia abroad version,Unknown
da9990eeb515b5,dataset/image/95/924/2014/da9990eeb515b5.jpg,2014,rear,"[68.0, 32.0, 851.0, 626.0]",Skoda,Octavia abroad version,Unknown
dfbbf283851c57,dataset/image/95/924/2014/dfbbf283851c57.jpg,2014,front,"[50.0, 150.0, 792.0, 626.0]",Skoda,Octavia abroad version,Unknown
7da8cb2529086a,dataset/image/95/924/2015/7da8cb2529086a.jpg,2015,rear,"[125.0, 43.0, 656.0, 475.0]",Skoda,Octavia abroad version,Unknown
4d62f0e63536e3,dataset/image/95/924/2015/4d62f0e63536e3.jpg,2015,front,"[98.0, 1.0, 685.0, 504.0]",Skoda,Octavia abroad version,Unknown
3e05615d06e0d2,dataset/image/95/923/2011/3e05615d06e0d2.jpg,2011,front,"[179.0, 135.0, 579.0, 483.0]",Skoda,Roomster,Unknown
52d336e2cf4866,dataset/image/95/923/2011/52d336e2cf4866.jpg,2011,rear,"[155.0, 71.0, 606.0, 480.0]",Skoda,Roomster,Unknown
07bbfbb80cb036,dataset/image/95/923/2011/07bbfbb80cb036.jpg,2011,front,"[175.0, 162.0, 731.0, 575.0]",Skoda,Roomster,Unknown
4871c07ff90349,dataset/image/95/913/2013/4871c07ff90349.jpg,2013,rear,"[209.0, 145.0, 714.0, 553.0]",Skoda,Superb,fastback
4cb99de4fe3e3f,dataset/image/95/913/2013/4cb99de4fe3e3f.jpg,2013,front,"[171.0, 125.0, 747.0, 553.0]",Skoda,Superb,fastback
9c0d0f274c1a8c,dataset/image/95/913/2013/9c0d0f274c1a8c.jpg,2013,rear,"[184.0, 50.0, 660.0, 418.0]",Skoda,Superb,fastback
086cd42f73db95,dataset/image/95/913/2013/086cd42f73db95.jpg,2013,rear,"[230.0, 79.0, 534.0, 296.0]",Skoda,Superb,fastback
c327eb0c60bfc4,dataset/image/95/913/2013/c327eb0c60bfc4.jpg,2013,rear,"[183.0, 146.0, 597.0, 488.0]",Skoda,Superb,fastback
a99f21cf45f8ea,dataset/image/95/913/2013/a99f21cf45f8ea.jpg,2013,rear,"[193.0, 136.0, 723.0, 570.0]",Skoda,Superb,fastback
1f013365d6cb4f,dataset/image/95/913/2013/1f013365d6cb4f.jpg,2013,front,"[183.0, 135.0, 643.0, 471.0]",Skoda,Superb,fastback
07039be74aaa64,dataset/image/95/913/2013/07039be74aaa64.jpg,2013,front,"[228.0, 205.0, 688.0, 536.0]",Skoda,Superb,fastback
92ed6926c31a5b,dataset/image/95/913/2013/92ed6926c31a5b.jpg,2013,front,"[192.0, 64.0, 562.0, 315.0]",Skoda,Superb,fastback
546fcaf817b4d4,dataset/image/95/913/2013/546fcaf817b4d4.jpg,2013,front,"[177.0, 109.0, 640.0, 451.0]",Skoda,Superb,fastback
6faa1803e6248e,dataset/image/95/913/2013/6faa1803e6248e.jpg,2013,front,"[190.0, 142.0, 629.0, 460.0]",Skoda,Superb,fastback
9945860ef1bd43,dataset/image/95/913/2013/9945860ef1bd43.jpg,2013,front,"[253.0, 185.0, 503.0, 384.0]",Skoda,Superb,fastback
e81ed47bad96a0,dataset/image/95/913/2013/e81ed47bad96a0.jpg,2013,front,"[207.0, 177.0, 707.0, 553.0]",Skoda,Superb,fastback
02ff4048d7e667,dataset/image/95/913/2013/02ff4048d7e667.jpg,2013,rear,"[45.0, 9.0, 763.0, 538.0]",Skoda,Superb,fastback
a95e08bbd3f0f4,dataset/image/95/913/2013/a95e08bbd3f0f4.jpg,2013,rear,"[99.0, 85.0, 659.0, 529.0]",Skoda,Superb,fastback
9d8203a9049035,dataset/image/95/913/2013/9d8203a9049035.jpg,2013,front,"[153.0, 138.0, 773.0, 583.0]",Skoda,Superb,fastback
2c3d5fe0459c94,dataset/image/95/913/2013/2c3d5fe0459c94.jpg,2013,rear,"[83.0, 80.0, 688.0, 490.0]",Skoda,Superb,fastback
ac7fd696c8269b,dataset/image/95/913/2013/ac7fd696c8269b.jpg,2013,front,"[104.0, 58.0, 619.0, 491.0]",Skoda,Superb,fastback
c3ec243eddfe4a,dataset/image/95/913/2013/c3ec243eddfe4a.jpg,2013,rear,"[181.0, 133.0, 642.0, 482.0]",Skoda,Superb,fastback
ef0794081243b4,dataset/image/95/913/2013/ef0794081243b4.jpg,2013,front,"[115.0, 100.0, 677.0, 483.0]",Skoda,Superb,fastback
404aae21c47da3,dataset/image/95/913/2013/404aae21c47da3.jpg,2013,rear,"[167.0, 118.0, 651.0, 517.0]",Skoda,Superb,fastback
